,ANO,cod_produto,PRODUÇÃO_NOVO,UND_NOVO,Technology,categoria,food_color
96,2019,1020.2100,115155.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
97,2020,1020.2100,129122.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
98,2021,1020.2100,126078.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
99,2022,1020.2100,124430.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
100,2023,1020.2100,136150.0,Ton,"Meat, fish and poultry",Carne e Ração Animal,salmon
101,2017,1042.2090,83163.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
102,2018,1042.2090,107185.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
103,2019,1042.2090,112690.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
104,2020,1042.2090,118053.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
105,2021,1042.2090,56520.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
106,2022,1042.2090,68660.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
107,2023,1042.2090,77963.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
108,2017,1043.2050,377361.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
109,2018,1043.2050,410628.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
110,2019,1043.2050,305632.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
111,2020,1043.2050,501850.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
112,2021,1043.2050,330652.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
113,2022,1043.2050,214410.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
114,2023,1043.2050,138240.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
115,2017,1043.2060,903046.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
116,2018,1043.2060,983539.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
117,2019,1043.2060,832029.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
118,2020,1043.2060,937875.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
119,2021,1043.2060,899209.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
120,2022,1043.2060,899701.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
121,2023,1043.2060,904975.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
122,2017,1043.2070,44379.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
123,2018,1043.2070,77126.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
124,2019,1043.2070,129283.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
125,2020,1043.2070,180968.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
126,2021,1043.2070,206022.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
127,2022,1043.2070,205255.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
128,2023,1043.2070,321558.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
129,2017,1043.2080,23024.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
130,2018,1043.2080,13405.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
131,2019,1043.2080,23911.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
132,2020,1043.2080,15906.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
133,2021,1043.2080,10433.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
134,2022,1043.2080,16106.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
135,2023,1043.2080,12110.0,Ton,Margarine and solid cooking fats,Gorduras sólidas,yellow
136,2017,1043.2090,142682.0,Ton,,Destilados,lightblue
137,2018,1043.2090,151113.0,Ton,,Destilados,lightblue
138,2019,1043.2090,165824.0,Ton,,Destilados,lightblue
139,2020,1043.2090,221958.0,Ton,,Destilados,lightblue
140,2021,1043.2090,205927.0,Ton,,Destilados,lightblue
141,2022,1043.2090,218680.0,Ton,,Destilados,lightblue
142,2023,1043.2090,232099.0,Ton,,Destilados,lightblue
143,2017,1061.2010,100241.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
144,2018,1061.2010,95319.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
145,2019,1061.2010,93228.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
146,2020,1061.2010,103073.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
147,2021,1061.2010,133602.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
148,2022,1061.2010,81613.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
149,2023,1061.2010,88154.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
150,2017,1062.2010,53622.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
151,2018,1062.2010,41191.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
152,2019,1062.2010,50250.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
153,2020,1062.2010,45239.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
154,2021,1062.2010,48709.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
155,2022,1062.2010,77215.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
156,2023,1062.2010,58759.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
157,2017,1064.2010,1040569.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
158,2018,1064.2010,935817.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
159,2019,1064.2010,944970.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
160,2020,1064.2010,929021.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
161,2021,1064.2010,984425.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
162,2022,1064.2010,1250194.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
163,2023,1064.2010,1247974.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
164,2017,1066.2010,23688.0,Ton,Animal feed,Carne e Ração Animal,salmon
165,2018,1066.2010,25721.0,Ton,Animal feed,Carne e Ração Animal,salmon
166,2019,1066.2010,43107.0,Ton,Animal feed,Carne e Ração Animal,salmon
167,2020,1066.2010,57410.0,Ton,Animal feed,Carne e Ração Animal,salmon
168,2021,1066.2010,46052.0,Ton,Animal feed,Carne e Ração Animal,salmon
169,2022,1066.2010,66911.0,Ton,Animal feed,Carne e Ração Animal,salmon
170,2023,1066.2010,65844.0,Ton,Animal feed,Carne e Ração Animal,salmon
171,2017,1066.2045,2018174.0,Ton,Animal feed,Carne e Ração Animal,salmon
172,2018,1066.2045,2292822.0,Ton,Animal feed,Carne e Ração Animal,salmon
173,2019,1066.2045,2690623.0,Ton,Animal feed,Carne e Ração Animal,salmon
174,2020,1066.2045,3168682.0,Ton,Animal feed,Carne e Ração Animal,salmon
175,2021,1066.2045,3567635.0,Ton,Animal feed,Carne e Ração Animal,salmon
176,2022,1066.2045,3621429.0,Ton,Animal feed,Carne e Ração Animal,salmon
177,2023,1066.2045,3775307.0,Ton,Animal feed,Carne e Ração Animal,salmon
178,2017,1066.2050,33221113.0,Ton,Animal feed,Carne e Ração Animal,salmon
179,2018,1066.2050,31659315.0,Ton,Animal feed,Carne e Ração Animal,salmon
180,2019,1066.2050,32137445.0,Ton,Animal feed,Carne e Ração Animal,salmon
181,2020,1066.2050,32155046.0,Ton,Animal feed,Carne e Ração Animal,salmon
182,2021,1066.2050,33599261.0,Ton,Animal feed,Carne e Ração Animal,salmon
183,2022,1066.2050,38312076.0,Ton,Animal feed,Carne e Ração Animal,salmon
184,2023,1066.2050,37633931.0,Ton,Animal feed,Carne e Ração Animal,salmon
185,2017,1069.2010,87439.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
186,2018,1069.2010,84589.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
187,2019,1069.2010,77343.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
188,2020,1069.2010,89059.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
189,2021,1069.2010,111708.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
190,2022,1069.2010,119902.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
191,2023,1069.2010,135756.0,Ton,"Cakes, biscuits and breakfast cereals","Bolos, biscoitos e cereais",grey
192,2017,1071.2010,14679129.0,Ton,Sugar,Açucar,beige
193,2018,1071.2010,12436561.0,Ton,Sugar,Açucar,beige
194,2019,1071.2010,13132871.0,Ton,Sugar,Açucar,beige
195,2020,1071.2010,16608330.0,Ton,Sugar,Açucar,beige
196,2021,1071.2010,16049432.0,Ton,Sugar,Açucar,beige
197,2022,1071.2010,16322012.0,Ton,Sugar,Açucar,beige
198,2023,1071.2010,18071288.0,Ton,Sugar,Açucar,beige
199,2017,1071.2030,116287.0,Ton,Sugar,Açucar,beige
200,2018,1071.2030,129001.0,Ton,Sugar,Açucar,beige
201,2019,1071.2030,116740.0,Ton,Sugar,Açucar,beige
202,2020,1071.2030,123752.0,Ton,Sugar,Açucar,beige
203,2021,1071.2030,171390.0,Ton,Sugar,Açucar,beige
204,2022,1071.2030,183437.0,Ton,Sugar,Açucar,beige
205,2023,1071.2030,221707.0,Ton,Sugar,Açucar,beige
206,2017,1071.2040,21945963.0,Ton,Sugar,Açucar,beige
207,2018,1071.2040,15428934.0,Ton,Sugar,Açucar,beige
208,2019,1071.2040,14539564.0,Ton,Sugar,Açucar,beige
209,2020,1071.2040,21811022.0,Ton,Sugar,Açucar,beige
210,2021,1071.2040,19540718.0,Ton,Sugar,Açucar,beige
211,2022,1071.2040,21359069.0,Ton,Sugar,Açucar,beige
212,2023,1071.2040,23671720.0,Ton,Sugar,Açucar,beige
213,2017,1071.2050,3259.0,Ton,Sugar,Açucar,beige
214,2018,1071.2050,3925.0,Ton,Sugar,Açucar,beige
215,2019,1071.2050,1342.0,Ton,Sugar,Açucar,beige
216,2020,1071.2050,5249.0,Ton,Sugar,Açucar,beige
217,2021,1071.2050,2508.0,Ton,Sugar,Açucar,beige
218,2022,1071.2050,2831.0,Ton,Sugar,Açucar,beige
219,2023,1071.2050,2793.0,Ton,Sugar,Açucar,beige
220,2017,1071.2080,3894.0,Ton,Sugar,Açucar,beige
221,2018,1071.2080,5350.0,Ton,Sugar,Açucar,beige
222,2019,1071.2080,5869.0,Ton,Sugar,Açucar,beige
223,2020,1071.2080,10198.0,Ton,Sugar,Açucar,beige
224,2021,1071.2080,11735.0,Ton,Sugar,Açucar,beige
225,2022,1071.2080,9170.0,Ton,Sugar,Açucar,beige
226,2023,1071.2080,6531.0,Ton,Sugar,Açucar,beige
227,2017,1072.2010,2406363.0,Ton,Sugar,Açucar,beige
228,2018,1072.2010,2200493.0,Ton,Sugar,Açucar,beige
229,2019,1072.2010,1763899.0,Ton,Sugar,Açucar,beige
230,2020,1072.2010,1298092.0,Ton,Sugar,Açucar,beige
231,2021,1072.2010,1160684.0,Ton,Sugar,Açucar,beige
232,2022,1072.2010,1591159.0,Ton,Sugar,Açucar,beige
233,2023,1072.2010,2052950.0,Ton,Sugar,Açucar,beige
234,2019,1072.2020,1795.531,Ton,Sugar,Açucar,beige
235,2020,1072.2020,1679.872,Ton,Sugar,Açucar,beige
236,2022,1072.2020,2789.457,Ton,Sugar,Açucar,beige
237,2017,1081.2020,14337.0,Ton,Coffee roasting,Café,brown
238,2018,1081.2020,19329.0,Ton,Coffee roasting,Café,brown
239,2019,1081.2020,17782.0,Ton,Coffee roasting,Café,brown
240,2020,1081.2020,21415.0,Ton,Coffee roasting,Café,brown
241,2021,1081.2020,30689.0,Ton,Coffee roasting,Café,brown
242,2022,1081.2020,48905.0,Ton,Coffee roasting,Café,brown
243,2023,1081.2020,44296.0,Ton,Coffee roasting,Café,brown
244,2017,1081.2040,707931.0,Ton,Coffee roasting,Café,brown
245,2018,1081.2040,708417.0,Ton,Coffee roasting,Café,brown
246,2019,1081.2040,683223.0,Ton,Coffee roasting,Café,brown
247,2020,1081.2040,668796.0,Ton,Coffee roasting,Café,brown
